"time","metric","scenario","group","load_zone","tags","count"
"2024-04-26T00:05:15+00:00","iterations","default","","","{}",74
"2024-04-26T00:05:18+00:00","iterations","default","","","{}",67
"2024-04-26T00:05:21+00:00","iterations","default","","","{}",86
"2024-04-26T00:05:24+00:00","iterations","default","","","{}",73
"2024-04-26T00:05:27+00:00","iterations","default","","","{}",74
"2024-04-26T00:05:30+00:00","iterations","default","","","{}",66
"2024-04-26T00:05:33+00:00","iterations","default","","","{}",87
"2024-04-26T00:05:36+00:00","iterations","default","","","{}",73
"2024-04-26T00:05:39+00:00","iterations","default","","","{}",70
"2024-04-26T00:05:42+00:00","iterations","default","","","{}",70
"2024-04-26T00:05:45+00:00","iterations","default","","","{}",87
"2024-04-26T00:05:48+00:00","iterations","default","","","{}",67
"2024-04-26T00:05:51+00:00","iterations","default","","","{}",75
"2024-04-26T00:05:54+00:00","iterations","default","","","{}",71
"2024-04-26T00:05:57+00:00","iterations","default","","","{}",84
"2024-04-26T00:06:00+00:00","iterations","default","","","{}",69
"2024-04-26T00:06:03+00:00","iterations","default","","","{}",70
"2024-04-26T00:06:06+00:00","iterations","default","","","{}",23
